of,contrato,empenho,empresa,cnpj,ano,ptres,plano_interno,processo,ted,bem,area,macro_area,intervencao,quantidade,parlamentar,rec_int,pregao,valor_unit,estado,municipio,latitude,longitude,beneficiario,cnpj_bene,contato,telefone,vencimento,responsavel_pela_informacao,entrega_realizada_pelo_fornecedor,processo_pagamento,pagamento,chassi_bt,chassi,serie_bt,serie,placa_bt,placa,ebm,ebm_bt,localizacao,punicao,obs_punicao,doacao,proc_doacao,status_doacao,termo_doacao,data_doacao,detalhe_da_doacao,data_ces,vencimento_do_encago,encargo,encargo_pagamnto,status_vencimento,det_enc,analista_responsavel,localizacao_do_bem,termo_publicado,entrega_fisica,baixa,data_entrega,of_emissao,metodo_doacao,intermedio,evento,item,marca,evento_realizado
7.0213/2017,NULL,2017NE570841,EMPORIUM CONSTRUTORA COMÉRCIO E SERVIÇOS LTDA,05.163.253/0001-08,2017,130969 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,19350003PI2 - EMENDA - ÁTILA LIRA - PSB/PI,59570.000800/2017-65,NULL,Caminhão carroceria em madeira,"Caminhões, veículos leves de carga e utilitários","Caminhões, veículos leves de carga e utilitários",Máquinas e equipamentos,TRUE,ÁTILA LIRA,Não,15/2017 - 7ª SR,164480,PI,Alagoinha do Piauí,-7.00039199999999973,-40.92816999999999439,ASSOCIAÇÃO DE MORADORES E PEQUENOS AGRICULTORES E PRODUTORES RURAIS DE JOÃO FERREIRA - AMPAPRUJF,10.843.790/0001-20,,,NULL,,Sim,59570.001297/2018-46,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.057.00/2019,2019-07-08,,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2019-05-20,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0230/2017,NULL,2017NE570867,MAQTRAL MÁQUINAS PEÇAS E TRATORES,07.736.287/0001-61,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,"Trator agrícola 88 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,98500,PI,Anísio de Abreu,-9.18564299999999889,-43.04940999999999462,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES E APICULTORES RURAIS DA COMUNIDADE BARREIRO DOS DOUCAS,18.627.145/0001-82,,,NULL,,Sim,59570.000493/2018-01,Pago,Não,,Sim,V750489591,Não,,235.958-6,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.014.00/2018,2018-09-12,,NULL,2019-11-19,Não Isento,Sim,Pago,Notificado pelo ofício nº 801/2023. Prazo: 25/06/2023,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2018-07-02,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0295/2017,NULL,2017NE570952,RK INDUSTRIA DE IMPLEMENTOS AGRICOLAS EIRELI - EPP,05.043.720/0001-58,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,Grade Aradora 16/24,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,15669,PI,Anísio de Abreu,-9.18564299999999889,-43.04940999999999462,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES E APICULTORES RURAIS DA COMUNIDADE BARREIRO DOS DOUCAS,18.627.145/0001-82,,,NULL,,Sim,59570.001264/2018-04,Pago,Não,,Sim,18/2039,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.009.00/2019,2019-01-29,,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2018-10-01,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0264/2017,NULL,2017NE570918,AGROINDUSTRIAL FREITAS LTDA EPP,21.344.856/0001-54,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,7000,PI,Anísio de Abreu,-9.18564299999999889,-43.04940999999999462,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES E APICULTORES RURAIS DA COMUNIDADE BARREIRO DOS DOUCAS,18.627.145/0001-82,,,NULL,,Sim,59570.001662/2018-12,Pago,Não,,Sim,740,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.024.00/2019,2019-03-21,,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2019-03-14,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0324/2017,NULL,2017NE570985,EBR BRASIL FORTE COMÉRCIO E EQUIPAMENTOS EIRELI,07.865.480/0001-00,2017,131050 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,37440002PI2 - EMENDA-REJANE DIAS-PI,59570.001233/2017-64,NULL,Microtrator 14 CV,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,MAIA FILHO,Não,07/2017 - 5ª SR,13799,PI,Aroeiras do Itaim,-7.2794724,-41.5738817,PREFEITURA MUNICIPAL DE AROEIRAS DO ITAIM,07.165.549/0001-85,Prefeito Edmilson (89) 98125-3393,NULL,2018-07-04,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,"O. F. foi recebida em 05/04/2018 pela empresa. Fornecedora não entregou o bem, nem justificou. Aplicado as sanções legais por abandono de contrato através de Ofício 156/2018 -7ª SR de 07/11/2018.",Não,NULL,Item Não Fornecido,NULL,2018-07-04,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Rogério Cardoso,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
7.0328/2017,NULL,2017NE570989,MARCASSIO INDÚSTRIA E COMÉRCIO DE MÁQUINAS AGRÍCOLAS,00.540.503/0001-50,2017,131050 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,37440002PI2 - EMENDA-REJANE DIAS-PI,59570.001233/2017-64,NULL,Plantadeira para microtrator,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,MAIA FILHO,Não,07/2017 - 5ª SR,10998,PI,Aroeiras do Itaim,-7.2794724,-41.5738817,PREFEITURA MUNICIPAL DE AROEIRAS DO ITAIM,07.165.549/0001-85,Prefeito Edmilson (89) 98125-3393,,NULL,,Sim,59570.001096/2018-49,Pago,Não,,Sim,1176,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.142.00/2019,2019-12-19,,NULL,NULL,Não Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2022-02-24,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0270/2017,NULL,2017NE570924,AGROINDUSTRIAL FREITAS LTDA EPP,21.344.856/0001-54,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,7000,PI,Avelino Lopes,-10.13448700000000002,-43.9563050000000004,ASSOCIAÇÃO DOS TRABALHADORES RURAIS DE AVELINO LOPES,23.518.632/0001-47,,,NULL,,Sim,59570.001662/2018-12,Pago,Não,,Sim,743,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.149.00/2019,2019-09-19,,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2019-10-03,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0302/2017,NULL,2017NE570959,RK INDUSTRIA DE IMPLEMENTOS AGRICOLAS EIRELI - EPP,05.043.720/0001-58,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,Grade Aradora 16/24,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,15669,PI,Avelino Lopes,-10.13448700000000002,-43.9563050000000004,ASSOCIAÇÃO DOS TRABALHADORES RURAIS DE AVELINO LOPES,23.518.632/0001-47,,,NULL,,Sim,59570.001130/2018-85,Pago,Não,,Sim,18/2032,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.032.00/2018,2018-12-21,,NULL,2019-11-19,Não Isento,Não,Vencido,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2019-10-03,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0234/2017,NULL,2017NE570871,MAQTRAL MÁQUINAS PEÇAS E TRATORES,07.736.287/0001-61,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,"Trator agrícola 88 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,98500,PI,Avelino Lopes,-10.13448700000000002,-43.9563050000000004,ASSOCIAÇÃO DOS TRABALHADORES RURAIS DE AVELINO LOPES,23.518.632/0001-47,,,NULL,,Sim,59570.000493/2018-01,Pago,Não,,Sim,V750489612,Não,,235.962-7,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.013.00/2018,2018-07-09,,NULL,2019-07-05,Não Isento,Sim,Pago,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2018-07-02,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0379/2017,NULL,2017NE571215,F. BONTEMPO BRUM PIRES EIRELLI,20.121.168/0001-62,2017,130959 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,12460003PI2 - EMENDA - JÚLIO CESAR - PSD/PI,59570.000713/2017-16,NULL,Carreta tanque 4.000 L,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,JÚLIO CÉSAR,Não,14/2017 - 7ª SR,14995,PI,Barras,-4.24467499999999909,-42.29216099999999301,ASSOCIAÇÃO DE MORADORES RURAIS DA COMUNIDADE CANTO DO SINDOR,73.836.637/0001-96,,NULL,2018-08-09,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,O. F. foi recebida em 11/04/2018 pela empresa. Fornecedora não entregou o bem. Processo arquivado não podendo ser adotada pela Codevasf cobrança de multa por inexistência da empresa.,Não,NULL,Item Não Fornecido,NULL,2018-08-09,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Rogério Cardoso,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
7.0388/2017,NULL,2017NE571159,TERRA VIVA COMÉRCIO E REPRESENTAÇÕES,17.542.364/0001-04,2017,130959 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,12460003PI2 - EMENDA - JÚLIO CESAR - PSD/PI,59570.000713/2017-16,NULL,Roçadeira hidráulica articulada,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,JÚLIO CÉSAR,Não,14/2017 - 7ª SR,5235,PI,Barras,-4.24467499999999909,-42.29216099999999301,ASSOCIAÇÃO DE MORADORES RURAIS DA COMUNIDADE CANTO DO SINDOR,73.836.637/0001-96,,,NULL,,Sim,59570.001311/2018-10,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.032.00/2019 ,2021-03-17,,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2019-04-23,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0380/2017,NULL,2017NE571150,INDUMAPAL EQUIPAMENTOS AGRÍCOLAS LTDA,05.613.266/0001-23,2017,130959 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,12460003PI2 - EMENDA - JÚLIO CESAR - PSD/PI,59570.000713/2017-16,NULL,Guincho agrícola,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,JÚLIO CÉSAR,Não,14/2017 - 7ª SR,829,PI,Barras,-4.24467499999999909,-42.29216099999999301,ASSOCIAÇÃO DE MORADORES RURAIS DA COMUNIDADE CANTO DO SINDOR,73.836.637/0001-96,,NULL,2018-08-18,,Não,,NULL,Não,,Não,,Não,,,Não,NULL,Sim,O. F foi recebida em 20/04/2018 pela empresa. Fornecedora não entregou o bem. Aplicado as sanções legais por abandono de contrato através de Ofício 06/2019 -7ª SR de 14/01/2019.,Não,NULL,Item Não Fornecido,NULL,2018-08-18,,0000-00-00,0000-00-00,Isento,Não,NULL,,,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
7.0375/2017,NULL,2017NE571144,MUTUM MÁQUINAS E IMPLEMENTOS AGRÍCOLAS LTDA,08.041.695/0002-42,2017,130959 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,12460003PI2 - EMENDA - JÚLIO CESAR - PSD/PI,59570.000713/2017-16,NULL,"Trator agrícola 75 CV, 4x4 com plaina dianteira e concha",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,JÚLIO CÉSAR,Não,14/2017 - 7ª SR,110000,PI,Barras,-4.24467499999999909,-42.29216099999999301,ASSOCIAÇÃO DE MORADORES RURAIS DA COMUNIDADE CANTO DO SINDOR,73.836.637/0001-96,,,NULL,,Sim,59570.000697/2018-34,Pago,Sim,HCCZTT75HJCG74328,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.035.00/2019,2019-05-02,,NULL,NULL,Isento,Não,NULL,,,BENEFICIÁRIO,Sim,Sim,Sim,2018-06-19,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0377/2017,NULL,2017NE571147,JHONNY MÁQUINAS E IMPLEMENTOS,24.184.923/0001-09,2017,130959 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,12460003PI2 - EMENDA - JÚLIO CESAR - PSD/PI,59570.000713/2017-16,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,JÚLIO CÉSAR,Não,14/2017 - 7ª SR,13829,PI,Barras,-4.24467499999999909,-42.29216099999999301,ASSOCIAÇÃO DE MORADORES RURAIS DA COMUNIDADE CANTO DO SINDOR,73.836.637/0001-96,,NULL,2018-10-22,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,O. F. foi recebida em 26/03/2018 pela empresa. Fornecedora não entregou o bem. Aplicado as sanções legais por abandono de contrato através de Ofício 40/2019 -7ª SR de 15/02/2019.,Não,NULL,Item Não Fornecido,NULL,2018-09-22,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Rogério Cardoso,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
7.0430/2017,NULL,2017NE571226,JHONNY MÁQUINAS E IMPLEMENTOS,24.184.923/0001-09,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.000713/2017-16,TED-19/2017-SDR/MI,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,14/2017 - 7ª SR,13829,PI,Betânia do Piauí,-8.14376099999999781,-40.79890999999999224,ASSOICAÇÃO DAS PEQUENAS PRODUTORAS RURAIS DA SERRA DO INÁCIO,13.588.675/0001-45,,NULL,2018-10-17,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,O. F. foi recebida em 26/03/2018 pela empresa. Fornecedora não entregou o bem. Aplicado as sanções legais por abandono de contrato através de Ofício 40/2019 -7ª SR de 15/02/2019.,Não,NULL,Item Não Fornecido,NULL,2018-10-17,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Rogério Cardoso,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
7.0431/2017,NULL,2017NE571227,INDUMAPAL EQUIPAMENTOS AGRÍCOLAS LTDA,05.613.266/0001-23,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.000713/2017-16,TED-19/2017-SDR/MI,Carreta tanque 6.000 L,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,14/2017 - 7ª SR,14800,PI,Betânia do Piauí,-8.14376099999999781,-40.79890999999999224,ASSOICAÇÃO DAS PEQUENAS PRODUTORAS RURAIS DA SERRA DO INÁCIO,13.588.675/0001-45,,NULL,2018-08-01,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,O. F foi recebida em 20/04/2018 pela empresa. Fornecedora não entregou o bem. Aplicado as sanções legais por abandono de contrato através de Ofício 06/2019 -7ª SR de 14/01/2019.,Não,NULL,Item Não Fornecido,NULL,2018-08-01,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Rogério Cardoso,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
7.0432/2017,NULL,2017NE571229,INDUMAPAL EQUIPAMENTOS AGRÍCOLAS LTDA,05.613.266/0001-23,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.000713/2017-16,TED-19/2017-SDR/MI,Carreta tanque 4.000 L,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,14/2017 - 7ª SR,10190,PI,Betânia do Piauí,-8.14376099999999781,-40.79890999999999224,ASSOICAÇÃO DAS PEQUENAS PRODUTORAS RURAIS DA SERRA DO INÁCIO,13.588.675/0001-45,,NULL,2018-08-01,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,O. F foi recebida em 20/04/2018 pela empresa. Fornecedora não entregou o bem. Aplicado as sanções legais por abandono de contrato através de Ofício 06/2019 -7ª SR de 14/01/2019.,Não,NULL,Item Não Fornecido,NULL,2018-08-01,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Rogério Cardoso,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
5.0157/2017,NULL,2017NE550521,EMPORIUM CONSTRUTORA COMÉRCIO E SERVIÇOS LTDA,05.163.253/0001-08,2017,,,,NULL,Caminhão compactador 10 m³,Compactadores de resíduos,Compactadores de resíduos,Máquinas e equipamentos,TRUE,CIRO NOGUEIRA,Não,07/2017 - 5ª SR,258400,PI,Bocaina,-6.94123599999999996,-41.31675199999999393,PREFEITURA MUNICIPAL DE BOCAINA,06.553.689/0001-68,Prefeito Erivelto (89) 98805-9810 / (89) 98803-3391,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.074.00/2020,2020-11-10,,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2019-07-03,Emitida,Direta,NULL,NULL,NULL,,Sim
8.0121/2017,NULL,2017NE580571,MAQTRAL MÁQUINAS PEÇAS E TRATORES,07.736.287/0001-61,2017,,,,NULL,"Trator agrícola 75 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HILDO ROCHA,Não,8ª SR,98500,PI,Bonfim do Piauí,-9.18093099999999751,-42.88346599999999853,PREFEITURA MUNICIPAL DE BONFIM DO PIAUÍ,41.522.210/0001-27,Prefeito Paulo Henrique (89) 98108-9390,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.018.00/2018,2018-07-16,,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2018-06-15,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0293/2017,NULL,2017NE570950,AGROINDUSTRIAL FREITAS LTDA EPP,21.344.856/0001-54,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,7000,PI,Caracol,-9.27933299999999761,-43.32899799999999857,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE LAGOINHA,05.676.904/0001-55,,,NULL,,Sim,59570.001662/2018-12,Pago,Não,,Sim,760,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.055.00/2019,2019-05-02,,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-02-10,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0236/2017,NULL,2017NE570873,MAQTRAL MÁQUINAS PEÇAS E TRATORES,07.736.287/0001-61,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,"Trator agrícola 88 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,98500,PI,Caracol,-9.27933299999999761,-43.32899799999999857,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE LAGOINHA,05.676.904/0001-55,,,NULL,,Sim,59570.000888/2018-04,Pago,Não,,Sim,V750491765,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.021.00/2018,2018-09-12,,NULL,2019-09-06,Não Isento,Não,Vencido,Notificado pelo ofício nº 803/2023. Prazo: 26/06/2023,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2018-07-02,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0260/2017,NULL,2017NE570914,JHONNY MÁQUINAS E IMPLEMENTOS,24.184.923/0001-09,2017,110283 - 20.608.2029.214S.0001 - ESTRUTURAÇÃO E DINAMIZAÇÃO DE ATIVIDADES PRODUTIVAS - NACIONAL,NA0000SAPL1 - TED Codevasf,59570.001233/2017-64,TED-19/2017-SDR/MI,Grade Aradora 16/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,HERÁCLITO FORTES,Não,07/2017 - 5ª SR,15930,PI,Caracol,-9.27933299999999761,-43.32899799999999857,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE LAGOINHA,05.676.904/0001-55,,NULL,2018-09-15,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,O. F. foi recebida em 26/03/2018 pela empresa. Fornecedora não entregou o bem. Aplicado as sanções legais por abandono de contrato através de Ofício 40/2019 -7ª SR de 15/02/2019.,Não,NULL,Item Não Fornecido,NULL,2018-09-15,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Rogério Cardoso,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
7.0376/2017,NULL,2017NE571145,MUTUM MÁQUINAS E IMPLEMENTOS AGRÍCOLAS LTDA,08.041.695/0002-42,2017,130959 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,12460003PI2 - EMENDA - JÚLIO CESAR - PSD/PI,59570.000713/2017-16,NULL,"Trator agrícola 75 CV, 4x4 com plaina dianteira e concha",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,JÚLIO CÉSAR,Não,14/2017 - 7ª SR,110000,PI,Castelo do Piauí,-5.31869299999999967,-41.54986499999999694,ASSOCIAÇÃO DE DESENVOLVIMENTO COMUNITÁRIO DA PALMEIRINHA,02.319.131/0001-61,,,NULL,,Sim,59570.000697/2018-34,Pago,Sim,HCCZTT75LJCG74302,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.003.00/2018,2018-07-04,,NULL,2019-07-03,Não Isento,Não,Vencido,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2018-06-19,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0381/2017,NULL,2017NE571151,JHONNY MÁQUINAS E IMPLEMENTOS,24.184.923/0001-09,2017,130959 - 15.244.2029.7k66.0022 - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL LOCAL INTEGRADO-PI,12460003PI2 - EMENDA - JÚLIO CESAR - PSD/PI,59570.000713/2017-16,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,JÚLIO CÉSAR,Não,14/2017 - 7ª SR,13829,PI,Castelo do Piauí,-5.31869299999999967,-41.54986499999999694,ASSOCIAÇÃO DE DESENVOLVIMENTO COMUNITÁRIO DA PALMEIRINHA,02.319.131/0001-61,,NULL,2018-10-22,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,O. F. foi recebida em 26/03/2018 pela empresa. Fornecedora não entregou o bem. Aplicado as sanções legais por abandono de contrato através de Ofício 40/2019 -7ª SR de 15/02/2019.,Não,NULL,Item Não Fornecido,NULL,2018-09-22,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Rogério Cardoso,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
