of,contrato,empenho,empresa,cnpj,ano,ptres,plano_interno,processo,ted,bem,area,macro_area,intervencao,quantidade,parlamentar,rec_int,pregao,valor_unit,estado,municipio,latitude,longitude,beneficiario,cnpj_bene,contato,telefone,vencimento,responsavel_pela_informacao,entrega_realizada_pelo_fornecedor,processo_pagamento,pagamento,chassi_bt,chassi,serie_bt,serie,placa_bt,placa,ebm,ebm_bt,localizacao,punicao,obs_punicao,doacao,proc_doacao,status_doacao,termo_doacao,data_doacao,detalhe_da_doacao,data_ces,vencimento_do_encago,encargo,encargo_pagamnto,status_vencimento,det_enc,analista_responsavel,localizacao_do_bem,termo_publicado,entrega_fisica,baixa,data_entrega,of_emissao,metodo_doacao,intermedio,evento,item,marca,evento_realizado
7.0094/2024,NULL,2024NE570258,ASUS - INDUSTRIA DE MAQUINAS AGRICOLAS LTDA,10.303.297/0001-18,2024,"247389 - 15.244.2317.00SX.7061 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Aquisição de Equipamentos, Material Permanente - No Estado do Piauí",71190015PI2 - Emenda - Bancada do Piaui - S/PARTIDO/PI,59570.000481/2024-17,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,FLÁVIO NOGUEIRA,Não,14/2023 - 2ª SR,17370,PI,Pimenteiras,-6.23839100000000002,-41.41127299999999423,FUNDAÇÃO MARIA DO SOCORRO MARREIROS,06.070.173/0001-62,,,2024-11-15,Guilherme Tenório,Sim,59570.000092/2025-72-e,Pago,Não,,Não,,Não,,371.562-8,Não,Polo Industrial,Não,NULL,Sim,59570.000689/2025-17,Termo de Doação,07.0191.00/2025,NULL,,NULL,NULL,Isento,Não,Aguardando Pagamento,,Kássio Felipe,BENEFICIÁRIO,Não,Sim,Não,2025-08-27,Emitida,Direta,,Flávio Nogueira 28/07/2025 às 9h,NULL,ROMHA A.CR 14 X 26,Sim
7.0094/2024,NULL,2024NE570258,ASUS - INDUSTRIA DE MAQUINAS AGRICOLAS LTDA,10.303.297/0001-18,2024,"247389 - 15.244.2317.00SX.7061 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Aquisição de Equipamentos, Material Permanente - No Estado do Piauí",71190015PI2 - Emenda - Bancada do Piaui - S/PARTIDO/PI,59570.000481/2024-17,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,FLÁVIO NOGUEIRA,Não,14/2023 - 2ª SR,17370,PI,Pedro II,-4.42584499999999892,-41.4481839999999977,ASSOCIAÇÃO COMUNITÁRIA DE PALMEIRA DOS SOARES E REGIAO,01.396.256/0001-22,,,2024-11-15,Guilherme Tenório,Sim,59570.000092/2025-72-e,Pago,Não,,Não,,Não,,371.563-5,Não,Polo Industrial,Não,NULL,Sim,,Termo de Cessão,,NULL,,2025-07-28,NULL,Isento,Não,Aguardando Pagamento,,Rayanne Claudino,BENEFICIÁRIO,Não,Sim,Não,2025-07-28,Emitida,Direta,,Flávio Nogueira 28/07/2025 às 9h,NULL,ROMHA A.CR 14 X 26,Sim
7.0094/2024,NULL,2024NE570258,ASUS - INDUSTRIA DE MAQUINAS AGRICOLAS LTDA,10.303.297/0001-18,2024,"247389 - 15.244.2317.00SX.7061 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Aquisição de Equipamentos, Material Permanente - No Estado do Piauí",71190015PI2 - Emenda - Bancada do Piaui - S/PARTIDO/PI,59570.000481/2024-17,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,FLÁVIO NOGUEIRA,Não,14/2023 - 2ª SR,17370,PI,Nazaré do Piauí,-6.97023499999999885,-42.67731599999999048,ASSOCIACAO DOS PEQUENOS PRODUTORES DA COM CATAREN,00.941.881/0001-45,,,2024-11-15,Guilherme Tenório,Sim,59570.000092/2025-72-e,Pago,Não,,Não,,Não,,371.564-2,Não,Polo Industrial,Não,NULL,Sim,59570.000685/2025-39,Termo de Doação,07.0192.00/2025,NULL,,NULL,NULL,Isento,Não,Aguardando Pagamento,,Kássio Felipe,Galpão da CODEVASF,Não,Não,Não,NULL,Emitida,Direta,,,NULL,ROMHA A.CR 14 X 26,Não
7.0094/2024,NULL,2024NE570258,ASUS - INDUSTRIA DE MAQUINAS AGRICOLAS LTDA,10.303.297/0001-18,2024,"247389 - 15.244.2317.00SX.7061 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Aquisição de Equipamentos, Material Permanente - No Estado do Piauí",71190015PI2 - Emenda - Bancada do Piaui - S/PARTIDO/PI,59570.000481/2024-17,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,FLÁVIO NOGUEIRA,Não,14/2023 - 2ª SR,17370,PI,Boqueirão do Piauí,-4.48180599999999885,-42.12123199999999201,ASSOCIAÇÃO DOS MORADORES DA COMUNIDADE APOSENTO,52.109.681/0001-24,,,2024-11-15,Guilherme Tenório,Sim,59570.000092/2025-72-e,Pago,Não,,Não,,Não,,371.565-9,Não,Polo Industrial,Não,NULL,Sim,59570.000724/2025-06,Termo de Cessão,,NULL,,2025-07-28,NULL,Isento,Não,Aguardando Pagamento,,Rayanne Claudino,BENEFICIÁRIO,Não,Sim,Não,2025-08-06,Emitida,Direta,,Flávio Nogueira 28/07/2025 às 9h,NULL,ROMHA A.CR 14 X 26,Sim
7.0094/2024,NULL,2024NE570258,ASUS - INDUSTRIA DE MAQUINAS AGRICOLAS LTDA,10.303.297/0001-18,2024,"247389 - 15.244.2317.00SX.7061 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Aquisição de Equipamentos, Material Permanente - No Estado do Piauí",71190015PI2 - Emenda - Bancada do Piaui - S/PARTIDO/PI,59570.000481/2024-17,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,CASTRO NETO,Não,14/2023 - 2ª SR,17370,PI,Bom Jesus,-9.0712389999999985,-44.35895099999999047,PREFEITURA MUNICIPAL DE BOM JESUS,06.554.356/0001-53,,,2024-11-15,Guilherme Tenório,Sim,59570.000092/2025-72-e,Pago,Não,,Não,,Não,,371.566-6,Não,Polo Industrial,Não,NULL,Sim,,Termo de Cessão,,NULL,,2025-07-22,NULL,Isento,Não,Aguardando Pagamento,,Rogério Cardoso,BENEFICIÁRIO,Não,Sim,Não,2025-07-23,Emitida,Direta,,,NULL,ROMHA A.CR 14 X 26,Sim
7.0094/2024,NULL,2024NE570258,ASUS - INDUSTRIA DE MAQUINAS AGRICOLAS LTDA,10.303.297/0001-18,2024,"247389 - 15.244.2317.00SX.7061 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Aquisição de Equipamentos, Material Permanente - No Estado do Piauí",71190015PI2 - Emenda - Bancada do Piaui - S/PARTIDO/PI,59570.000481/2024-17,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,FLÁVIO NOGUEIRA,Não,14/2023 - 2ª SR,17370,PI,Alto Longá,-5.25634099999999904,-42.20958199999999749,ASSOCIAÇÃO COMUNITÁRIA DA LOCALIDADE SÃO VICENTE,02.315.051/0001-38,Flávio do Teté,86 98114-8385,2024-11-15,Guilherme Tenório,Sim,59570.000092/2025-72-e,Pago,Não,,Não,,Não,,371.567-3,Não,Polo Industrial,Não,NULL,Sim,59570.000604/2025-09,Termo de Doação,07.0147.00/2025,2025-07-28,,2025-07-07,NULL,Isento,Não,Aguardando Pagamento,,Kássio Felipe,BENEFICIÁRIO,Sim,Sim,Não,2025-07-07,Emitida,Direta,,Flávio Nogueira 08/07/2025 às 9h,NULL,ROMHA A.CR 14 X 26,Sim
7.0094/2024,NULL,2024NE570258,ASUS - INDUSTRIA DE MAQUINAS AGRICOLAS LTDA,10.303.297/0001-18,2024,"247389 - 15.244.2317.00SX.7061 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Aquisição de Equipamentos, Material Permanente - No Estado do Piauí",71190015PI2 - Emenda - Bancada do Piaui - S/PARTIDO/PI,59570.000481/2024-17,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,JADYEL ALENCAR,Não,14/2023 - 2ª SR,17370,PI,União,-4.58570899999999959,-42.85828499999999508,ASSOCIAÇÃO DOS AGRICULTORES FAMILIARES E EMPREENDEDORES FAMILIARES RURAIS - ASSAFER SANTIAGO 1,04.364.876/0001-78,,,2024-11-15,Guilherme Tenório,Sim,59570.000092/2025-72-e,Pago,Não,,Não,,Não,,371.568-0,Não,Polo Industrial,Não,NULL,Sim,,Termo de Cessão,,NULL,,2025-07-03,NULL,Isento,Não,Aguardando Pagamento,,Rogério Cardoso,BENEFICIÁRIO,Não,Sim,Não,2025-07-04,Emitida,Direta,,Jadyel Alencar 03/07/2025 às 14h30,NULL,ROMHA A.CR 14 X 26,Sim
7.0094/2024,NULL,2024NE570258,ASUS - INDUSTRIA DE MAQUINAS AGRICOLAS LTDA,10.303.297/0001-18,2024,"247389 - 15.244.2317.00SX.7061 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Aquisição de Equipamentos, Material Permanente - No Estado do Piauí",71190015PI2 - Emenda - Bancada do Piaui - S/PARTIDO/PI,59570.000481/2024-17,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,JADYEL ALENCAR,Não,14/2023 - 2ª SR,17370,PI,Luís Correia,-2.88438000000000017,-41.66414199999999823,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES AGROPECUARISTAS DE IPUEIRA,74.109.315/0001-08,Pedro do leite,(86) 99439-1331,2024-11-15,Guilherme Tenório,Sim,59570.000092/2025-72-e,Pago,Não,,Não,,Não,,371.569-7,Não,Polo Industrial,Não,NULL,Sim,,Termo de Cessão,,NULL,,2025-07-03,NULL,Isento,Não,Aguardando Pagamento,,Kássio Felipe,BENEFICIÁRIO,Não,Sim,Não,2025-07-04,Emitida,Direta,,Jadyel Alencar 03/07/2025 às 14h30,NULL,ROMHA A.CR 14 X 26,Sim
7.0094/2024,NULL,2024NE570258,ASUS - INDUSTRIA DE MAQUINAS AGRICOLAS LTDA,10.303.297/0001-18,2024,"247389 - 15.244.2317.00SX.7061 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Aquisição de Equipamentos, Material Permanente - No Estado do Piauí",71190015PI2 - Emenda - Bancada do Piaui - S/PARTIDO/PI,59570.000481/2024-17,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,CASTRO NETO,Não,14/2023 - 2ª SR,17370,PI,Campo Maior,-4.82169700000000034,-42.16412400000000105,ASSOCIAÇÃO CAMPOMAIORENSE DOS CRIADORES DE CAPRINOS E OVINOS,86.733.714/0001-24,,,2024-11-15,Guilherme Tenório,Sim,59570.000092/2025-72-e,Pago,Não,,Não,,Não,,371.570-7,Não,Polo Industrial,Não,NULL,Sim,,Termo de Cessão,,NULL,,NULL,NULL,Isento,Não,Aguardando Pagamento,,Paulo Ribeiro,BENEFICIÁRIO,Não,Sim,Não,2025-06-26,Emitida,Direta,,,NULL,ROMHA A.CR 14 X 26,Sim
7.0094/2024,NULL,2024NE570258,ASUS - INDUSTRIA DE MAQUINAS AGRICOLAS LTDA,10.303.297/0001-18,2024,"247389 - 15.244.2317.00SX.7061 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Aquisição de Equipamentos, Material Permanente - No Estado do Piauí",71190015PI2 - Emenda - Bancada do Piaui - S/PARTIDO/PI,59570.000481/2024-17,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,ÁTILA LIRA,Não,14/2023 - 2ª SR,17370,PI,Parnaíba,-2.90584699999999962,-41.77538799999999242,PREFEITURA MUNICÍPAL DE PARNAÍBA,06.554.430/0001-31,,,2024-11-15,Guilherme Tenório,Sim,59570.000092/2025-72-e,Pago,Não,,Não,,Não,,371.571-4,Não,Polo Industrial,Não,NULL,Sim,,Termo de Cessão,,NULL,,2025-06-27,NULL,Isento,Não,Aguardando Pagamento,,Paulo Ribeiro,BENEFICIÁRIO,Não,Sim,Não,2025-09-03,Emitida,Direta,,Átila Lira 27/06/2025 às 10h,NULL,ROMHA A.CR 14 X 26,Sim
